participant,gender,age,screen_type,screen_avail_width,screen_avail_height,screen_width,screen_height,experience_games_regular_screen,experience_games_smartphone,experience_games_vr,experience_360_interaction,experience_point_cloud_interaction,experience_computer_graphics,first_object,duration_total,duration_introduction,duration_reference_1,duration_reference_2
0,male,30-32,laptop,1366,768,1366,768,true,true,true,true,false,false,dancer,825654,202973,19766,17300
1,male,33-35,pc,1920,1040,1920,1080,true,true,false,true,false,false,thaidancer,843365,140720,30744,22921
2,male,22-23,laptop,1440,900,1440,900,true,true,true,true,false,false,dancer,775604,151800,23338,26426
3,female,30-32,pc,1920,1040,1920,1080,true,true,false,true,false,true,thaidancer,1113392,217523,32517,15994
4,male,22-23,laptop,1536,864,1536,864,true,true,true,true,false,false,dancer,815683,126370,27177,51255
5,male,33-35,pc,1920,1032,1920,1080,true,true,true,false,false,false,dancer,1022154,461886,12215,5129
6,female,36-39,laptop,1300,731,1300,731,true,true,true,true,false,false,dancer,912031,224469,10706,111005
7,male,22-23,tv,1920,1040,1920,1080,true,true,true,true,false,false,thaidancer,1187663,122554,56501,89298
8,male,33-35,pc,1920,1040,1920,1080,true,true,true,true,true,false,dancer,1109099,200725,22008,175180
9,male,22-23,pc,1920,1040,1920,1080,true,true,true,true,false,false,thaidancer,692779,116643,26491,18099
10,male,30-32,laptop,1620,1032,1620,1080,true,true,true,true,false,true,thaidancer,712529,193062,16898,11698
11,male,24-26,pc,1680,1050,1680,1050,true,true,false,true,false,false,thaidancer,671787,120634,14097,4703
12,female,24-26,laptop,1280,672,1280,720,true,true,true,false,false,false,thaidancer,760602,211560,13059,4883
13,female,50+,laptop,1536,864,1536,864,false,true,false,false,false,false,thaidancer,1057227,139382,31063,53508
14,male,24-26,tv,4096,2112,4096,2160,true,true,false,true,false,false,thaidancer,1007181,412607,27395,24188
15,male,33-35,laptop,1536,824,1536,864,true,true,true,false,false,false,dancer,1134562,333600,67987,28131
16,male,33-35,pc,1471,828,1471,828,true,true,false,true,false,true,dancer,2359054,1551909,34865,38790
17,male,18-19,pc,1920,1040,1920,1080,true,true,false,true,false,false,dancer,1906751,631353,27843,66322
18,female,30-32,laptop,1680,1050,1680,1050,false,true,false,true,false,false,thaidancer,766505,200448,32608,17851
19,female,30-32,laptop,1680,1050,1680,1050,true,true,false,false,false,false,thaidancer,754809,173999,26136,15416
20,male,50+,laptop,1280,800,1280,800,false,false,false,true,false,false,dancer,926518,225699,34389,15871
21,male,30-32,pc,1920,1040,1920,1080,true,true,true,true,false,true,dancer,575102,26095,8229,13594
22,male,40-44,laptop,1920,1080,1920,1080,true,true,false,true,false,true,dancer,678653,120804,11918,10575
23,male,22-23,laptop,1366,728,1366,768,true,true,true,true,false,false,thaidancer,574350,104730,10371,4441
24,female,20-21,laptop,1440,900,1440,900,true,true,false,false,false,false,dancer,948488,228751,28708,47582
25,male,27-29,laptop,1366,768,1366,768,true,true,false,true,false,false,thaidancer,621501,89413,20040,10759
26,male,27-29,laptop,1536,824,1536,864,true,true,true,true,false,true,thaidancer,560274,61387,10447,14487
27,male,22-23,pc,1920,1040,1920,1080,true,true,true,true,false,true,thaidancer,667158,48954,16243,5187
28,female,30-32,laptop,1536,816,1536,864,true,true,false,true,false,false,thaidancer,810764,139401,24638,82841
