participant,object,distance,frame_rate,encode_method,quantization_level_index,qoe,duration,size,order
0,dancer,far,10,V-PCC,0,3,4451,493,22
0,dancer,far,10,V-PCC,1,2,4467,493,48
0,dancer,far,10,V-PCC,2,2,6004,493,52
0,dancer,far,10,V-PCC,3,3,4118,493,37
0,dancer,far,10,V-PCC,4,4,4370,493,11
0,dancer,far,15,V-PCC,0,3,4443,493,4
0,dancer,far,15,V-PCC,1,4,3921,493,38
0,dancer,far,15,V-PCC,2,3,4469,493,27
0,dancer,far,15,V-PCC,3,4,4045,493,33
0,dancer,far,15,V-PCC,4,4,4375,493,43
0,dancer,far,30,Draco,0,4,4534,493,26
0,dancer,far,30,Draco,1,3,5034,493,49
0,dancer,far,30,Draco,2,5,4474,493,40
0,dancer,far,30,Draco,3,4,4268,493,47
0,dancer,far,30,Draco,4,3,4215,493,57
0,dancer,far,30,V-PCC,0,4,4383,493,28
0,dancer,far,30,V-PCC,1,4,4591,493,36
0,dancer,far,30,V-PCC,2,4,4848,493,45
0,dancer,far,30,V-PCC,3,5,4088,493,44
0,dancer,far,30,V-PCC,4,4,6128,493,14
0,dancer,medium,10,V-PCC,0,2,4356,493,19
0,dancer,medium,10,V-PCC,1,3,4308,493,54
0,dancer,medium,10,V-PCC,2,3,5007,493,39
0,dancer,medium,10,V-PCC,3,2,5203,493,13
0,dancer,medium,10,V-PCC,4,3,5329,493,10
0,dancer,medium,15,V-PCC,0,2,4456,493,51
0,dancer,medium,15,V-PCC,1,4,4492,493,55
0,dancer,medium,15,V-PCC,2,4,4893,493,21
0,dancer,medium,15,V-PCC,3,4,4807,493,29
0,dancer,medium,15,V-PCC,4,5,4115,493,30
0,dancer,medium,30,Draco,0,5,4193,493,32
0,dancer,medium,30,Draco,1,4,5670,493,46
0,dancer,medium,30,Draco,2,4,6539,493,3
0,dancer,medium,30,Draco,3,5,4347,493,42
0,dancer,medium,30,Draco,4,4,4483,493,1
0,dancer,medium,30,V-PCC,0,3,5263,493,12
0,dancer,medium,30,V-PCC,1,4,3953,493,58
0,dancer,medium,30,V-PCC,2,4,4486,493,35
0,dancer,medium,30,V-PCC,3,4,5271,493,9
0,dancer,medium,30,V-PCC,4,5,5967,493,17
0,dancer,near,10,V-PCC,0,1,4947,493,59
0,dancer,near,10,V-PCC,1,2,5744,493,2
0,dancer,near,10,V-PCC,2,4,5674,493,31
0,dancer,near,10,V-PCC,3,3,3941,493,50
0,dancer,near,10,V-PCC,4,3,4667,493,25
0,dancer,near,15,V-PCC,0,1,5276,493,0
0,dancer,near,15,V-PCC,1,4,4721,493,15
0,dancer,near,15,V-PCC,2,4,4202,493,56
0,dancer,near,15,V-PCC,3,4,4631,493,23
0,dancer,near,15,V-PCC,4,3,4825,493,6
0,dancer,near,30,Draco,0,2,4397,493,34
0,dancer,near,30,Draco,1,5,4928,493,16
0,dancer,near,30,Draco,2,5,5352,493,41
0,dancer,near,30,Draco,3,5,4596,493,53
0,dancer,near,30,Draco,4,5,4560,493,18
